
hn Williams,35,74098.00
15487874,Gene Edwards,51,41008.00
15645489,Daniel Evans,25,40312.00
51135593,Maria White,22,24998.00
54879887,Dorthy Lewis,33,41008.00
60839453,Charles Harris,24,24998.00
74454898,Scott Bell,23,70100.00
90873519,Elizabeth Taylor,27,33055.00
98784544,Eric Collins,23,41008.00
112348546,Joseph Thompson,26,24998.00
115987938,Christopher Garcia,60,24998.00
128778823,William Ward,33,24998.00
132977562,Angela Martinez,31,24998.00
141582651,Mary Johnson,44,94011.00
141582657,Stanley Browne,23,14093.00
142519864,Susan Martin,39,56990.00
156465461,Eric Cooper,26,24998.00
156489494,Gil Richardson,32,70100.00
159542516,Matt Nelson,33,48990.00
178949844,Chad Stewart,29,24998.00
179887498,Dorthy Howard,28,40312.00
242518965,James Smith,68,27099.00
248965255,Barbara Wilson,48,95021.00
254099823,Patricia Jones,28,250000.00
254898318,Gim Rogers,25,32175.00
267894232,Paul Hall,25,24998.00
269734834,Rick Carter,38,24998.00
274878974,Harry Watson,30,24998.00
280158572,Margaret Clark,40,24998.00
287321212,Michael Miller,62,131072.0
289562686,Thomas Robinson,34,32175.00
291795563,Haywood Kelly,36,32175.00
298489484,Lisa Gray,31,24998.00
301221823,Juan Rodriguez,30,32175.00
310454876,Milo Brooks,22,39910.00
318548912,Ann Mitchell,23,32175.00
320874981,Daniel Lee,23,32175.00
322654189,Lisa Walker,38,32175.00
334568786,William Moore,32,32175.00
348121549,Trey Phillips,69,32175.00
351565322,Nancy Allen,30,39910.00
355548984,Tom Murphy,41,32175.00
356187925,Robert Brown,28,35431.00
390487451,Mark Coleman,42,39910.00
451519864,Mark Young,34,39910.00
454565232,Louis Jenkins,20,39910.00
455798411,Luis Hernandez,44,39910.00
486512566,David Anderson,20,25199.00
489221823,Richard Jackson,33,32996.00
489456522,Linda Davis,26,25971.00
548977562,Donald King,43,92048.00
550156548,George Wright,42,41008.00
552455318,Ana Lopez,35,41008.00
556784565,Kenneth Hill,81,41008.00
567354612,Karen Scott,70,39910.00
573284895,Steven Green,29,39910.00
574489456,Betty Adams,39,39910.00
578875478,Edward Baker,50,101071.0
619023588,Jennifer Thomas,24,34654.00

